,date,store_id,cat_id,sales,dtrend,anomaly
0,2011-01-29,TX_1,FOODS,3950.35,-160.50096270993117,False
1,2011-01-30,TX_1,FOODS,3844.97,-266.5321185555099,False
2,2011-01-31,TX_1,FOODS,2888.03,-1224.123274401088,False
3,2011-02-01,TX_1,FOODS,3631.28,-481.5244302466667,False
4,2011-02-02,TX_1,FOODS,3072.18,-1041.2755860922457,False
5,2011-02-03,TX_1,FOODS,4827.67,713.5632580621759,False
6,2011-02-04,TX_1,FOODS,2865.66,-1249.097897783403,False
7,2011-02-05,TX_1,FOODS,4446.09,330.68094637101876,False
8,2011-02-06,TX_1,FOODS,4991.76,875.6997905254402,False
9,2011-02-07,TX_1,FOODS,3551.25,-565.4613653201386,False
10,2011-02-08,TX_1,FOODS,2690.66,-1426.7025211657174,False
11,2011-02-09,TX_1,FOODS,3602.84,-515.1736770112957,False
12,2011-02-10,TX_1,FOODS,3233.29,-885.3748328568745,False
13,2011-02-11,TX_1,FOODS,3696.21,-423.10598870245303,False
14,2011-02-12,TX_1,FOODS,4803.05,683.0828554519685,False
15,2011-02-13,TX_1,FOODS,5817.36,1696.7416996063894,False
16,2011-02-14,TX_1,FOODS,3271.07,-850.1994562391887,False
17,2011-02-15,TX_1,FOODS,3859.7,-262.2206120847677,False
18,2011-02-16,TX_1,FOODS,3210.92,-911.6517679303461,False
19,2011-02-17,TX_1,FOODS,2965.81,-1157.4129237759248,False
20,2011-02-18,TX_1,FOODS,3186.52,-937.3540796215034,False
21,2011-02-19,TX_1,FOODS,3965.15,-159.3752354670819,False
22,2011-02-20,TX_1,FOODS,4145.67,20.493608687339474,False
23,2011-02-21,TX_1,FOODS,3224.6,-901.2275471582393,False
24,2011-02-22,TX_1,FOODS,2893.82,-1232.6587030038177,False
25,2011-02-23,TX_1,FOODS,2580.78,-1546.3498588493962,False
26,2011-02-24,TX_1,FOODS,3083.86,-1043.921014694975,False
27,2011-02-25,TX_1,FOODS,3013.17,-1115.2621705405536,False
28,2011-02-26,TX_1,FOODS,3803.96,-325.12332638613225,False
29,2011-02-27,TX_1,FOODS,4289.93,160.1955177682894,False
30,2011-02-28,TX_1,FOODS,3161.71,-968.6756380772895,False
31,2011-03-01,TX_1,FOODS,3199.07,-931.966793922868,False
32,2011-03-02,TX_1,FOODS,3113.6,-1018.0879497684468,False
33,2011-03-03,TX_1,FOODS,3335.43,-796.9091056140255,False
34,2011-03-04,TX_1,FOODS,2973.72,-1159.2702614596033,False
35,2011-03-05,TX_1,FOODS,4587.39,453.74858269481865,False
36,2011-03-06,TX_1,FOODS,5018.7,884.4074268492395,False
37,2011-03-07,TX_1,FOODS,4076.49,-58.45372899633912,False
38,2011-03-08,TX_1,FOODS,3290.18,-845.4148848419177,False
39,2011-03-09,TX_1,FOODS,3846.26,-289.9860406874959,False
40,2011-03-10,TX_1,FOODS,3030.62,-1106.2771965330749,False
41,2011-03-11,TX_1,FOODS,3307.94,-829.6083523786533,False
42,2011-03-12,TX_1,FOODS,4870.73,732.5304917757676,False
43,2011-03-13,TX_1,FOODS,4889.51,750.6593359301896,False
44,2011-03-14,TX_1,FOODS,3892.37,-247.13181991538931,False
45,2011-03-15,TX_1,FOODS,4377.82,237.6670242390319,False
46,2011-03-16,TX_1,FOODS,3225.75,-915.0541316065464,False
47,2011-03-17,TX_1,FOODS,3487.95,-653.5052874521252,False
